dataset_a	dataset_b	summary_level	metric	value_col	mean	ci_low	ci_high	ci_half_width	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_bootstrap_valid	n_rows	n_finite_rows	n_compounds	cluster_col	inner_strata	outer_strata	uncertainty_scope
l1000_phase1	l1000_phase2	w4_deg_dataset_pair	w4_target_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	mean_w4_target_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	0.7450635940487841	0.7198491963080715	0.7712344954618651	0.025692649576896764	bca	ok	0.95	2000	2000	1060	1052	255	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	w4_deg_dataset_pair	w4_target_peer_deg_lfc_spearman_pair_p05_corrected_percentile	mean_w4_target_peer_deg_lfc_spearman_pair_p05_corrected_percentile	0.747333310934423	0.7225371749975755	0.773687266360822	0.02557504568162322	bca	ok	0.95	2000	2000	1060	1052	255	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	sciplex	w4_deg_dataset_pair	w4_observed_deg_lfc_spearman_sym_p05	mean_w4_observed_deg_lfc_spearman_sym_p05	0.3056155073855688	0.23422223654315383	0.37403831280255495	0.06990803812970056	bca	ok	0.95	2000	2000	162	71	51	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	sciplex	w4_deg_dataset_pair	w4_source_centroid_deg_lfc_spearman_pair_p05	mean_w4_source_centroid_deg_lfc_spearman_pair_p05	0.296892008391165	0.2388857026566926	0.3443463935636972	0.05273034545350229	bca	ok	0.95	2000	2000	162	147	87	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	sciplex	w4_deg_dataset_pair	w4_delta_vs_source_centroid_deg_lfc_spearman_p05	mean_w4_delta_vs_source_centroid_deg_lfc_spearman_p05	-0.05797636731926286	-0.14057196302388036	0.014302472419465273	0.07743721772167282	bca	ok	0.95	2000	2000	162	71	51	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	sciplex	w4_deg_dataset_pair	w4_target_centroid_deg_lfc_spearman_pair_p05	mean_w4_target_centroid_deg_lfc_spearman_pair_p05	0.16188938023971727	0.11334752859436566	0.2053266527013983	0.04598956205351632	bca	ok	0.95	2000	2000	162	147	87	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	sciplex	w4_deg_dataset_pair	w4_delta_vs_target_centroid_deg_lfc_spearman_p05	mean_w4_delta_vs_target_centroid_deg_lfc_spearman_p05	0.09288155012329175	0.01075719879219826	0.17101256951927923	0.0801276853635405	bca	ok	0.95	2000	2000	162	71	51	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	sciplex	w4_deg_dataset_pair	w4_source_peer_deg_lfc_spearman_pair_p05	mean_w4_source_peer_deg_lfc_spearman_pair_p05	-0.0014707317706965858	-0.011281792316782386	0.007296810830809982	0.009289301573796184	bca	ok	0.95	2000	2000	162	147	87	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	sciplex	w4_deg_dataset_pair	w4_delta_vs_source_peer_deg_lfc_spearman_p05	mean_w4_delta_vs_source_peer_deg_lfc_spearman_p05	0.2980766411965257	0.2285329688933039	0.3675598227164613	0.0695134269115787	bca	ok	0.95	2000	2000	162	71	51	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	sciplex	w4_deg_dataset_pair	w4_source_peer_deg_lfc_spearman_pair_p05_sd_score	mean_w4_source_peer_deg_lfc_spearman_pair_p05_sd_score	0.3632113392497873	0.33859223829030055	0.39106921507447806	0.026238488392088755	bca	ok	0.95	2000	2000	162	147	87	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	sciplex	w4_deg_dataset_pair	w4_source_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	mean_w4_source_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	0.6394749950631343	0.5946532434475397	0.6825670097836642	0.04395688316806229	bca	ok	0.95	2000	2000	162	147	87	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	sciplex	w4_deg_dataset_pair	w4_source_peer_deg_lfc_spearman_pair_p05_corrected_percentile	mean_w4_source_peer_deg_lfc_spearman_pair_p05_corrected_percentile	0.6419274210581118	0.5948724350719592	0.6857362378830201	0.04543190140553044	bca	ok	0.95	2000	2000	162	147	87	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	sciplex	w4_deg_dataset_pair	w4_target_peer_deg_lfc_spearman_pair_p05	mean_w4_target_peer_deg_lfc_spearman_pair_p05	0.010155712130215542	0.004907838631258662	0.015655486972323322	0.005373824170532331	bca	ok	0.95	2000	2000	162	147	87	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	sciplex	w4_deg_dataset_pair	w4_delta_vs_target_peer_deg_lfc_spearman_p05	mean_w4_delta_vs_target_peer_deg_lfc_spearman_p05	0.29732973513108885	0.2212707929172088	0.367832088508528	0.0732806477956596	bca	ok	0.95	2000	2000	162	71	51	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	sciplex	w4_deg_dataset_pair	w4_target_peer_deg_lfc_spearman_pair_p05_sd_score	mean_w4_target_peer_deg_lfc_spearman_pair_p05_sd_score	0.3056722976732897	0.2761771982966335	0.3401209398945174	0.031971870798941954	bca	ok	0.95	2000	2000	162	147	87	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	sciplex	w4_deg_dataset_pair	w4_target_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	mean_w4_target_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	0.6500830193247338	0.5932458711742616	0.6991517813664084	0.052952955096073395	bca	ok	0.95	2000	2000	162	147	87	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	sciplex	w4_deg_dataset_pair	w4_target_peer_deg_lfc_spearman_pair_p05_corrected_percentile	mean_w4_target_peer_deg_lfc_spearman_pair_p05_corrected_percentile	0.6519741534817511	0.5956025700558073	0.700975898557299	0.05268666425074586	bca	ok	0.95	2000	2000	162	147	87	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	tahoe	w4_deg_dataset_pair	w4_observed_deg_lfc_spearman_sym_p05	mean_w4_observed_deg_lfc_spearman_sym_p05	0.11789339289631409	0.011313709967937232	0.21551884077391148	0.10210256540298712	bca	ok	0.95	2000	2000	114	50	40	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	tahoe	w4_deg_dataset_pair	w4_source_centroid_deg_lfc_spearman_pair_p05	mean_w4_source_centroid_deg_lfc_spearman_pair_p05	0.2322808455629844	0.1535496322101975	0.3014201473679147	0.07393525757885862	bca	ok	0.95	2000	2000	114	105	80	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	tahoe	w4_deg_dataset_pair	w4_delta_vs_source_centroid_deg_lfc_spearman_p05	mean_w4_delta_vs_source_centroid_deg_lfc_spearman_p05	-0.14531420489229238	-0.2995036580620054	-0.0189287636495016	0.14028744720625191	bca	ok	0.95	2000	2000	114	50	40	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	tahoe	w4_deg_dataset_pair	w4_target_centroid_deg_lfc_spearman_pair_p05	mean_w4_target_centroid_deg_lfc_spearman_pair_p05	0.034185982371137874	-0.043740778039341247	0.11556558300446418	0.0796531805219027	bca	ok	0.95	2000	2000	114	106	80	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	tahoe	w4_deg_dataset_pair	w4_delta_vs_target_centroid_deg_lfc_spearman_p05	mean_w4_delta_vs_target_centroid_deg_lfc_spearman_p05	0.09680482464126965	-0.038268619009187606	0.20940512916365372	0.12383687408642066	bca	ok	0.95	2000	2000	114	50	40	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
