dose_threshold	threshold_order	max_fold_difference	max_abs_delta_log10_dose	is_reference	dataset_a	dataset_b	summary_level	metric	value_col	mean	ci_low	ci_high	ci_half_width	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_bootstrap_valid	n_rows	n_finite_rows	n_compounds	cluster_col	inner_strata	outer_strata	uncertainty_scope	cell_type
exact	0	1.0	0.0	False	l1000_phase2	sciplex	dose_threshold_dataset_pair	baseline_pair_deg_lfc_spearman_p05	mean_baseline_pair_deg_lfc_spearman_p05	0.5333169205839141	0.42466230479197936	0.6002021751802558	0.0877699351941382	bca	ok	0.95	2000	2000	124	111	74	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	l1000_phase2	sciplex	dose_threshold_dataset_pair	delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	-0.11518474517412033	-0.18122718082461906	-0.05545878366553211	0.06288419857954347	bca	ok	0.95	2000	2000	124	58	47	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	l1000_phase2	sciplex	dose_threshold_dataset_pair	observed_direction_agreement_p05	mean_observed_direction_agreement_p05	0.9494054646551109	0.9099331290506022	0.968400572340668	0.029233721645032906	bca	ok	0.95	2000	2000	124	58	46	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	l1000_phase2	sciplex	dose_threshold_dataset_pair	baseline_pair_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	0.7117099373219526	0.6606518392020804	0.7522184492979374	0.04578330504792849	bca	ok	0.95	2000	2000	124	115	77	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	l1000_phase2	sciplex	dose_threshold_dataset_pair	delta_vs_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05	0.18359924927529472	0.147437340986845	0.22604293025996483	0.03930279463655992	bca	ok	0.95	2000	2000	124	58	46	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	observed_deg_lfc_spearman_sym_p05	mean_observed_deg_lfc_spearman_sym_p05	0.4696873322805851	0.39962985818420754	0.5243513712900523	0.062360756552922364	bca	ok	0.95	2000	2000	140	131	127	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0023
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	baseline_pair_deg_lfc_spearman_p05	mean_baseline_pair_deg_lfc_spearman_p05	0.48311570483402033	0.4363038920579295	0.5216639832938614	0.042680045617965956	bca	ok	0.95	2000	2000	140	138	133	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0023
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	-0.018265359599363068	-0.08508879500080789	0.03372981645266575	0.05940930572673682	bca	ok	0.95	2000	2000	140	131	127	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0023
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	observed_direction_agreement_p05	mean_observed_direction_agreement_p05	0.9127459593865053	0.873636903519156	0.9372324589808481	0.03179777773084602	bca	ok	0.95	2000	2000	140	120	116	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0023
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	baseline_pair_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	0.7359865221999857	0.7146607403533183	0.7579590868589235	0.021649173252802634	bca	ok	0.95	2000	2000	140	139	134	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0023
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05	0.16746054195964344	0.12977918027135826	0.19675930867482247	0.0334900642017321	bca	ok	0.95	2000	2000	140	120	116	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0023
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	observed_deg_lfc_spearman_sym_p05	mean_observed_deg_lfc_spearman_sym_p05	0.5068692033798718	0.4537533109253774	0.5557803289496376	0.05101350901213009	bca	ok	0.95	2000	2000	178	153	153	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0031
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	baseline_pair_deg_lfc_spearman_p05	mean_baseline_pair_deg_lfc_spearman_p05	0.5227845599214624	0.4777498583217927	0.5591017213683169	0.04067593152326213	bca	ok	0.95	2000	2000	178	175	175	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0031
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	-0.033264320756082565	-0.08913383050490956	0.013275076577359527	0.051204453541134544	bca	ok	0.95	2000	2000	178	153	153	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0031
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	observed_direction_agreement_p05	mean_observed_direction_agreement_p05	0.9158164595395754	0.8740149600209718	0.9425250108413021	0.034255025410165174	bca	ok	0.95	2000	2000	178	132	132	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0031
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	baseline_pair_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	0.765266242713465	0.7392705390929746	0.7853578869118749	0.02304367390945017	bca	ok	0.95	2000	2000	178	177	177	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0031
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05	0.12784086531154465	0.09508555929192551	0.15447563342662404	0.029695037067349266	bca	ok	0.95	2000	2000	178	132	132	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0031
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	observed_deg_lfc_spearman_sym_p05	mean_observed_deg_lfc_spearman_sym_p05	0.39640365304188474	0.29813351098555985	0.48005625183024414	0.09096137042234215	bca	ok	0.95	2000	2000	59	59	59	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0033
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	baseline_pair_deg_lfc_spearman_p05	mean_baseline_pair_deg_lfc_spearman_p05	0.49909966462089234	0.4381143684863352	0.552464277538178	0.05717495452592136	bca	ok	0.95	2000	2000	59	59	59	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0033
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	-0.10269601157900764	-0.20926535500857935	-0.011278327324593917	0.09899351384199272	bca	ok	0.95	2000	2000	59	59	59	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0033
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	observed_direction_agreement_p05	mean_observed_direction_agreement_p05	0.8980911838316511	0.8434446848180646	0.9351066794108824	0.04583099729640894	bca	ok	0.95	2000	2000	59	54	54	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0033
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	baseline_pair_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	0.7420244971982018	0.7093581683194065	0.7716454753494647	0.031143653515029124	bca	ok	0.95	2000	2000	59	59	59	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0033
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05	0.15005113619257	0.08655002191322855	0.20169870377890972	0.057574340932840584	bca	ok	0.95	2000	2000	59	54	54	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0033
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	observed_deg_lfc_spearman_sym_p05	mean_observed_deg_lfc_spearman_sym_p05	0.4139688833003584	0.339663143346646	0.4796414910752755	0.06998917386431475	bca	ok	0.95	2000	2000	112	103	103	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0035
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	baseline_pair_deg_lfc_spearman_p05	mean_baseline_pair_deg_lfc_spearman_p05	0.41228120254426626	0.3504112154926272	0.46556374791318317	0.05757626621027798	bca	ok	0.95	2000	2000	112	112	112	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0035
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	-0.016846574424153302	-0.09463314432244246	0.05053346708702541	0.07258330570473394	bca	ok	0.95	2000	2000	112	103	103	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0035
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	observed_direction_agreement_p05	mean_observed_direction_agreement_p05	0.9115528387750893	0.8599828499098623	0.9439019537183158	0.04195955190422673	bca	ok	0.95	2000	2000	112	90	90	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0035
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	baseline_pair_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	0.6987192644529119	0.6716845195611246	0.7241600291469289	0.026237754792902135	bca	ok	0.95	2000	2000	112	112	112	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0035
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05	0.19808197132017827	0.1466809605319796	0.240991151864443	0.0471550956662317	bca	ok	0.95	2000	2000	112	90	90	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0035
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	observed_deg_lfc_spearman_sym_p05	mean_observed_deg_lfc_spearman_sym_p05	0.5908605987002088	0.5103410094497544	0.6475799381213194	0.06861946433578253	bca	ok	0.95	2000	2000	89	86	86	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0062
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	baseline_pair_deg_lfc_spearman_p05	mean_baseline_pair_deg_lfc_spearman_p05	0.6347881284551324	0.5812670842530512	0.6780034411212971	0.048368178434122944	bca	ok	0.95	2000	2000	89	89	89	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0062
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	-0.04215103589704629	-0.10608326976978147	0.010068317340650591	0.058075793555216026	bca	ok	0.95	2000	2000	89	86	86	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0062
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	observed_direction_agreement_p05	mean_observed_direction_agreement_p05	0.9576252903431015	0.9367888230943725	0.9704434468775315	0.01682731189157949	bca	ok	0.95	2000	2000	89	75	75	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0062
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	baseline_pair_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	0.8260711523935761	0.802509665216162	0.846867104461983	0.022178719622910514	bca	ok	0.95	2000	2000	89	89	89	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0062
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05	0.12522668565695455	0.10142473457593291	0.1556827435486608	0.02712900448636394	bca	ok	0.95	2000	2000	89	75	75	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0062
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	observed_deg_lfc_spearman_sym_p05	mean_observed_deg_lfc_spearman_sym_p05	0.6540086776259697	0.38805556678789405	0.756248717390947	0.18409657530152648	bca	ok	0.95	2000	2000	31	28	28	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0132
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	baseline_pair_deg_lfc_spearman_p05	mean_baseline_pair_deg_lfc_spearman_p05	0.6334363795597284	0.4440835578719746	0.7053357884955221	0.13062611531177376	bca	ok	0.95	2000	2000	31	31	31	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0132
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	-0.011061450855771917	-0.19757494389058208	0.06954804119370998	0.13356149254214603	bca	ok	0.95	2000	2000	31	28	28	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0132
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	observed_direction_agreement_p05	mean_observed_direction_agreement_p05	0.9607259587746241	0.9397515336791111	0.9743398129593023	0.017294139640095574	bca	ok	0.95	2000	2000	31	26	26	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0132
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	baseline_pair_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	0.788293194413149	0.7075235722463836	0.8342597111107667	0.06336806943219153	bca	ok	0.95	2000	2000	31	31	31	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0132
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05	0.13088842104850132	0.101432460467954	0.15774183168668732	0.02815468560936666	bca	ok	0.95	2000	2000	31	26	26	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0132
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	observed_deg_lfc_spearman_sym_p05	mean_observed_deg_lfc_spearman_sym_p05	0.5190919396550746	0.4188364129989827	0.5974458136253215	0.08930470031316937	bca	ok	0.95	2000	2000	62	57	57	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0178
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	baseline_pair_deg_lfc_spearman_p05	mean_baseline_pair_deg_lfc_spearman_p05	0.5959213323401256	0.543925173077524	0.6391987808677456	0.047636803895110824	bca	ok	0.95	2000	2000	62	62	62	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0178
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	-0.06767273590242529	-0.17921474366381226	0.013659172945833704	0.09643695830482299	bca	ok	0.95	2000	2000	62	57	57	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0178
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	observed_direction_agreement_p05	mean_observed_direction_agreement_p05	0.9019748531984035	0.8183334727340538	0.9457700480570103	0.06371828766147825	bca	ok	0.95	2000	2000	62	52	52	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0178
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	baseline_pair_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	0.8071657430947645	0.7810812919369585	0.8304396689652491	0.0246791885141453	bca	ok	0.95	2000	2000	62	62	62	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0178
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05	0.10583429449052431	0.032706136007537474	0.15038463546484798	0.05883924972865526	bca	ok	0.95	2000	2000	62	52	52	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0178
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	observed_deg_lfc_spearman_sym_p05	mean_observed_deg_lfc_spearman_sym_p05	0.5107456161429262	0.24730106498206125	0.6688894165171226	0.21079417576753068	bca	ok	0.95	2000	2000	22	20	20	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0320
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	baseline_pair_deg_lfc_spearman_p05	mean_baseline_pair_deg_lfc_spearman_p05	0.4542544172053262	0.3081243076914436	0.5564664416933717	0.12417106700096403	bca	ok	0.95	2000	2000	22	22	22	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0320
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	-0.0008818122377385107	-0.20578209025807584	0.13937365268669474	0.1725778714723853	bca	ok	0.95	2000	2000	22	20	20	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0320
