dataset_pair	dataset_a	dataset_b	scale_variant	metric	mean	ci_low	ci_high	n_rows	n_finite_rows	n_compounds	ci_status	estimate_95_ci
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	raw_source_peer_direction_agreement_pair_p05_sd_score	0.13393525189366298	0.1247567145740622	0.14917296912295416	127	55	55	ok	0.134 [0.125, 0.149]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	raw_target_centroid_direction_agreement_pair_p05	0.6853933766730123	0.654001842984556	0.70969070745451	127	124	121	ok	0.685 [0.654, 0.710]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	raw_target_peer_direction_agreement_pair_p05	0.5607763425731566	0.5512192003492229	0.5703975681621344	127	55	55	ok	0.561 [0.551, 0.570]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	raw_target_peer_direction_agreement_pair_p05_corrected_percentile	0.9020367860972077	0.8159181318647784	0.9530806488850033	127	55	55	ok	0.902 [0.816, 0.953]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	raw_target_peer_direction_agreement_pair_p05_fraction_below_observed	0.9015605927059814	0.8081842099085651	0.9490456217071088	127	55	55	ok	0.902 [0.808, 0.949]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	raw_target_peer_direction_agreement_pair_p05_sd_score	0.1139960970731382	0.10270607130548434	0.1311544710449211	127	55	55	ok	0.114 [0.103, 0.131]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	baseline_pair_direction_agreement_p05	0.7244357240285955	0.712196395591774	0.7355361413888368	1060	1054	256	ok	0.724 [0.712, 0.736]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	delta_vs_baseline_pair_direction_agreement_p05	0.15615018324475022	0.14122228015383953	0.17188655394349303	1060	845	211	ok	+0.156 [0.141, 0.172]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	observed_direction_agreement_p05	0.9174928909719515	0.9027128713581862	0.9297147928131225	1060	845	211	ok	0.917 [0.903, 0.930]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_delta_vs_source_centroid_direction_agreement_p05	0.15615018324475022	0.1402657391116019	0.17115809819996305	1060	845	211	ok	+0.156 [0.140, 0.171]
