Dataset pair	dataset_a	dataset_b	Similarity	Scale	Baseline peer scope	n_cmpd	n_rows	Observed rank [95% CI]	Recall@1 [95% CI]	AUROC [95% CI]	Source baseline rank [95% CI]	Delta source [95% CI]	Source corrected percentile [95% CI]	Target baseline rank [95% CI]	Delta target [95% CI]	Target corrected percentile [95% CI]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	L2	per_gene_population_zscore_dataset	all eligible	974	11042	0.542 [0.532, 0.551]	0.011 [0.008, 0.015]	0.541 [0.531, 0.551]	0.518 [0.517, 0.519]	+0.024 [0.015, 0.034]	0.520 [0.512, 0.528]	0.501 [0.501, 0.502]	+0.040 [0.031, 0.050]	0.541 [0.531, 0.550]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	L2	per_gene_population_zscore_dataset	all eligible	124	855	0.557 [0.496, 0.615]	0.044 [0.009, 0.190]	0.550 [0.488, 0.613]	0.557 [0.541, 0.570]	-0.000 [-0.068, 0.061]	0.496 [0.431, 0.564]	0.482 [0.478, 0.485]	+0.076 [0.013, 0.140]	0.579 [0.514, 0.641]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	L2	per_gene_population_zscore_dataset	all eligible	257	21857	0.719 [0.683, 0.769]	0.206 [0.136, 0.329]	0.716 [0.682, 0.767]	0.556 [0.548, 0.563]	+0.161 [0.123, 0.208]	0.624 [0.589, 0.685]	0.512 [0.504, 0.520]	+0.200 [0.160, 0.245]	0.711 [0.675, 0.754]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	L2	per_gene_population_zscore_dataset	all eligible	90	1897	0.596 [0.562, 0.633]	0.028 [0.013, 0.061]	0.595 [0.562, 0.633]	0.556 [0.545, 0.568]	+0.042 [0.010, 0.078]	0.523 [0.495, 0.552]	0.498 [0.487, 0.509]	+0.099 [0.066, 0.134]	0.603 [0.568, 0.638]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	L2	per_gene_population_zscore_dataset	all eligible	86	692	0.532 [0.483, 0.579]	0.013 [0.002, 0.043]	0.529 [0.479, 0.574]	0.566 [0.547, 0.592]	-0.028 [-0.098, 0.032]	0.490 [0.442, 0.537]	0.498 [0.488, 0.514]	+0.029 [-0.026, 0.080]	0.547 [0.492, 0.601]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	L2	per_gene_population_zscore_dataset	all eligible	68	372	0.558 [0.504, 0.606]	0.089 [0.049, 0.145]	0.558 [0.506, 0.604]	0.497 [0.472, 0.520]	+0.062 [0.007, 0.115]	0.534 [0.474, 0.591]	0.402 [0.400, 0.407]	+0.156 [0.104, 0.204]	0.668 [0.614, 0.720]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	L2	per_gene_population_zscore_dataset	all eligible	83	2323	0.646 [0.618, 0.673]	0.035 [0.020, 0.059]	0.646 [0.616, 0.673]	0.557 [0.550, 0.562]	+0.089 [0.062, 0.113]	0.563 [0.544, 0.583]	0.527 [0.523, 0.530]	+0.120 [0.093, 0.145]	0.624 [0.597, 0.649]
L1000 Phase2–Tahoe	l1000_phase2	tahoe	L2	per_gene_population_zscore_dataset	all eligible	110	1755	0.539 [0.497, 0.586]	0.010 [0.003, 0.027]	0.538 [0.494, 0.586]	0.588 [0.582, 0.595]	-0.049 [-0.095, -0.002]	0.452 [0.412, 0.489]	0.527 [0.522, 0.531]	+0.012 [-0.030, 0.056]	0.513 [0.471, 0.560]
Tahoe–Sciplex	tahoe	sciplex	L2	per_gene_population_zscore_dataset	all eligible	23	223	0.553 [0.491, 0.621]	0.007 [0.000, 0.022]	0.549 [0.490, 0.618]	0.516 [0.512, 0.520]	+0.037 [-0.024, 0.105]	0.526 [0.496, 0.544]	0.496 [0.494, 0.498]	+0.057 [-0.007, 0.128]	0.562 [0.502, 0.628]
