dose_threshold	threshold_order	max_fold_difference	max_abs_delta_log10_dose	is_reference	dataset_a	dataset_b	summary_level	metric	value_col	mean	ci_low	ci_high	ci_half_width	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_bootstrap_valid	n_rows	n_finite_rows	n_compounds	cluster_col	inner_strata	outer_strata	uncertainty_scope	cell_type
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	dose_threshold_dataset_pair_line	baseline_pair_deg_lfc_spearman_p05	mean_baseline_pair_deg_lfc_spearman_p05	0.3589308963116147	0.3044773290203547	0.4104447035931928	0.052983687286419	bca	ok	0.95	2000	2000	952	428	428	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0063
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	dose_threshold_dataset_pair_line	baseline_pair_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	0.68102593737065	0.6549289807841826	0.7072017660698002	0.0261363926428088	bca	ok	0.95	2000	2000	952	592	592	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0063
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	-0.074149050642533	-0.1700271028512872	0.0084255971637021	0.0892263500074946	bca	ok	0.95	2000	2000	952	123	123	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0063
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05	0.1862813481663121	0.1270160982112741	0.2393698784557522	0.056176890122239	bca	ok	0.95	2000	2000	952	101	101	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0063
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	dose_threshold_dataset_pair_line	observed_deg_lfc_spearman_sym_p05	mean_observed_deg_lfc_spearman_sym_p05	0.3735140489124388	0.2891773423833438	0.4443600363529315	0.0775913469847938	bca	ok	0.95	2000	2000	952	123	123	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0063
exact	0	1.0	0.0	False	cigs_mce	cigs_tcm	dose_threshold_dataset_pair_line	observed_direction_agreement_p05	mean_observed_direction_agreement_p05	0.920340265813177	0.8638270981370759	0.9564664438900612	0.0463196728764925	bca	ok	0.95	2000	2000	952	101	101	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0063
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	dose_threshold_dataset_pair	baseline_pair_deg_lfc_spearman_p05	mean_baseline_pair_deg_lfc_spearman_p05	0.5581053333287541	0.4894651764869133	0.6164280367890231	0.0634814301510549	bca	ok	0.95	2000	2000	126	122	119	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	dose_threshold_dataset_pair	baseline_pair_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	0.8190433096721791	0.7883297996357328	0.8422916995947788	0.0269809499795229	bca	ok	0.95	2000	2000	126	123	120	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	dose_threshold_dataset_pair	delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	-0.1903834324632256	-0.2817142008374358	-0.1083981099913663	0.0866580454230347	bca	ok	0.95	2000	2000	126	78	78	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	dose_threshold_dataset_pair	delta_vs_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05	0.055180913274835	-0.0210423873911199	0.1044567845132189	0.0627495859521694	bca	ok	0.95	2000	2000	126	54	54	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	dose_threshold_dataset_pair	observed_deg_lfc_spearman_sym_p05	mean_observed_deg_lfc_spearman_sym_p05	0.3775031377346485	0.297653601273691	0.444054175945936	0.0732002873361225	bca	ok	0.95	2000	2000	126	78	78	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	dose_threshold_dataset_pair	observed_direction_agreement_p05	mean_observed_direction_agreement_p05	0.8779788014138687	0.7962713096988306	0.9234003275662124	0.0635645089336908	bca	ok	0.95	2000	2000	126	54	54	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	dose_threshold_dataset_pair_line	baseline_pair_deg_lfc_spearman_p05	mean_baseline_pair_deg_lfc_spearman_p05	0.5500874094351207	0.4767739376702272	0.6078000051971209	0.0655130337634468	bca	ok	0.95	2000	2000	112	108	108	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0062
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	dose_threshold_dataset_pair_line	baseline_pair_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	0.8076935385424596	0.7737744316049256	0.8320748487787557	0.029150208586915	bca	ok	0.95	2000	2000	112	109	109	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0062
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	-0.1983494955985257	-0.2979154442224445	-0.1148581316313062	0.0915286562955691	bca	ok	0.95	2000	2000	112	77	77	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0062
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05	0.0495257900173958	-0.0283135158516543	0.0975025316665244	0.0629080237590894	bca	ok	0.95	2000	2000	112	53	53	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0062
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	dose_threshold_dataset_pair_line	observed_deg_lfc_spearman_sym_p05	mean_observed_deg_lfc_spearman_sym_p05	0.3720923943669096	0.2867604189372738	0.4359861026294356	0.0746128418460809	bca	ok	0.95	2000	2000	112	77	77	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0062
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	dose_threshold_dataset_pair_line	observed_direction_agreement_p05	mean_observed_direction_agreement_p05	0.875820544606324	0.8020294011312931	0.9230393880222396	0.0605049934454732	bca	ok	0.95	2000	2000	112	53	53	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0062
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	dose_threshold_dataset_pair_line	baseline_pair_deg_lfc_spearman_p05	mean_baseline_pair_deg_lfc_spearman_p05	0.6199578890796413	0.3372241037481129	0.7443157308146405	0.2035458135332638	bca	ok	0.95	2000	2000	14	14	14	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0063
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	dose_threshold_dataset_pair_line	baseline_pair_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	0.9074093848964232	0.8314748699824372	0.9511302636636564	0.0598276968406095	bca	ok	0.95	2000	2000	14	14	14	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0063
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05					not_estimable	too_few_clusters_or_values	0.95	2000	0	14	1	1	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0063
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	dose_threshold_dataset_pair_line	delta_vs_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05					not_estimable	too_few_clusters_or_values	0.95	2000	0	14	1	1	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0063
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	dose_threshold_dataset_pair_line	observed_deg_lfc_spearman_sym_p05	mean_observed_deg_lfc_spearman_sym_p05					not_estimable	too_few_clusters_or_values	0.95	2000	0	14	1	1	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0063
exact	0	1.0	0.0	False	l1000_phase1	cigs_mce	dose_threshold_dataset_pair_line	observed_direction_agreement_p05	mean_observed_direction_agreement_p05					not_estimable	too_few_clusters_or_values	0.95	2000	0	14	1	1	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	CVCL_0063
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair	baseline_pair_deg_lfc_spearman_p05	mean_baseline_pair_deg_lfc_spearman_p05	0.5170735926530414	0.4907976795058232	0.5441628004285285	0.0266825604613526	bca	ok	0.95	2000	2000	972	963	235	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
exact	0	1.0	0.0	False	l1000_phase1	l1000_phase2	dose_threshold_dataset_pair	baseline_pair_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	0.7524343339340409	0.7374469912933184	0.7667679844693132	0.0146604965879973	bca	ok	0.95	2000	2000	972	969	236	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
