dataset_a	dataset_b	similarity_metric	scale_variant	peer_cap_order	peer_cap_label	summary_level	metric	value_col	mean	ci_low	ci_high	ci_half_width	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_bootstrap_valid	n_rows	n_finite_rows	n_compounds	cluster_col	inner_strata	outer_strata	uncertainty_scope
cigs_mce	cigs_tcm	spearman	raw	0	all	retrieval_peer_sensitivity_dataset_pair	delta_vs_source_peer_normalized_rank	delta_vs_source_peer_normalized_rank	-0.036391100432245	-0.0522227844147679	-0.0203361881626437	0.0159432981260621	bca	ok	0.95	2000	2000	11042	11042	974	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	spearman	raw	0	all	retrieval_peer_sensitivity_dataset_pair	delta_vs_target_peer_normalized_rank	delta_vs_target_peer_normalized_rank	0.0795541757713177	0.0651273677387423	0.0925555897924979	0.0137141110268777	bca	ok	0.95	2000	2000	11042	11042	974	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	spearman	raw	0	all	retrieval_peer_sensitivity_dataset_pair	source_individual_corrected_percentile	source_individual_corrected_percentile	0.4534486565606865	0.4402648279865714	0.4658991313881905	0.0128171517008095	bca	ok	0.95	2000	2000	11042	11042	974	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	spearman	raw	0	all	retrieval_peer_sensitivity_dataset_pair	source_individual_fraction_below_observed	source_individual_fraction_below_observed	0.4531731917875883	0.4408645426636288	0.4654552039840596	0.0122953306602154	bca	ok	0.95	2000	2000	11042	11042	974	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	spearman	raw	0	all	retrieval_peer_sensitivity_dataset_pair	source_individual_mean_similarity	source_individual_mean_similarity	0.0346174610704724	0.033557300199962	0.0356833807089939	0.0010630402545159	bca	ok	0.95	2000	2000	11042	11042	974	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	spearman	raw	0	all	retrieval_peer_sensitivity_dataset_pair	source_individual_n_peers	source_individual_n_peers	2828.199519074629	2821.4685489047856	2832.6981700348856	5.614810565049993	bca	ok	0.95	2000	2000	11042	11042	974	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	spearman	raw	0	all	retrieval_peer_sensitivity_dataset_pair	source_individual_sd_similarity	source_individual_sd_similarity	0.0796668537223911	0.0787938167804282	0.0805657663860479	0.0008859748028098	bca	ok	0.95	2000	2000	11042	11042	974	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	spearman	raw	0	all	retrieval_peer_sensitivity_dataset_pair	source_peer_normalized_rank	source_peer_normalized_rank	0.6173293277207308	0.6137329768547048	0.6208410925398696	0.0035540578425823	bca	ok	0.95	2000	2000	11042	11042	974	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	spearman	raw	0	all	retrieval_peer_sensitivity_dataset_pair	target_individual_corrected_percentile	target_individual_corrected_percentile	0.5803125949565267	0.5660443735796187	0.5942322621352281	0.0140939442778046	bca	ok	0.95	2000	2000	11042	11042	974	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	spearman	raw	0	all	retrieval_peer_sensitivity_dataset_pair	target_individual_fraction_below_observed	target_individual_fraction_below_observed	0.5801024377485292	0.5660465391300199	0.5941445288394822	0.0140489948547311	bca	ok	0.95	2000	2000	11042	11042	974	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	spearman	raw	0	all	retrieval_peer_sensitivity_dataset_pair	target_individual_mean_similarity	target_individual_mean_similarity	0.0020565569466516	0.0014664339981692	0.0028010591500834	0.0006673125759571	bca	ok	0.95	2000	2000	11042	11042	974	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	spearman	raw	0	all	retrieval_peer_sensitivity_dataset_pair	target_individual_n_peers	target_individual_n_peers	2827.5971715623737	2820.743669970478	2831.894112368991	5.575221199256475	bca	ok	0.95	2000	2000	11042	11042	974	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
