dataset_pair	dataset_a	dataset_b	scale_variant	metric	mean	ci_low	ci_high	n_rows	n_finite_rows	n_compounds	ci_status	estimate_95_ci
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_delta_vs_source_centroid_deg_lfc_spearman_p05	0.0704710746611051	0.008629816091954	0.1307823707850948	1910	305	230	ok	+0.070 [0.009, 0.131]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_delta_vs_source_peer_deg_lfc_spearman_p05	0.2949850878681271	0.2430483858748922	0.345652368296833	1910	305	230	ok	+0.295 [0.243, 0.346]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_delta_vs_target_centroid_deg_lfc_spearman_p05	0.2530984300685305	0.1962697875513401	0.3088881852200863	1910	305	230	ok	+0.253 [0.196, 0.309]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_delta_vs_target_peer_deg_lfc_spearman_p05	0.3231785479490229	0.2701746433458165	0.3721500725241922	1910	305	230	ok	+0.323 [0.270, 0.372]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_observed_deg_lfc_spearman_sym_p05	0.3184748748040908	0.2665818219418375	0.3659019675474538	1910	305	230	ok	0.318 [0.267, 0.366]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_source_centroid_deg_lfc_spearman_pair_p05	0.2329774661648396	0.2011360071054279	0.2659945819290072	1910	981	701	ok	0.233 [0.201, 0.266]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_source_peer_deg_lfc_spearman_pair_p05	0.0296186682331699	0.0224714260057692	0.036022421754441	1910	982	703	ok	0.030 [0.022, 0.036]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_source_peer_deg_lfc_spearman_pair_p05_corrected_percentile	0.5823958302991212	0.5599532098619008	0.6050080598897101	1910	982	703	ok	0.582 [0.560, 0.605]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_source_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	0.5807265147657841	0.556805650263646	0.6028171832430071	1910	982	703	ok	0.581 [0.557, 0.603]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_source_peer_deg_lfc_spearman_pair_p05_sd_score	0.4681461077579592	0.4506980942509183	0.4854475008318139	1910	982	703	ok	0.468 [0.451, 0.485]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_target_centroid_deg_lfc_spearman_pair_p05	0.0547209249019086	0.0243379526206153	0.0882586551985947	1910	972	697	ok	0.055 [0.024, 0.088]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_target_peer_deg_lfc_spearman_pair_p05	0.0044691581846098	-0.0012684881826751	0.0105399679969931	1910	982	703	ok	0.004 [-0.001, 0.011]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_target_peer_deg_lfc_spearman_pair_p05_corrected_percentile	0.603454447086416	0.5803541635939611	0.6251537618957658	1910	982	703	ok	0.603 [0.580, 0.625]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_target_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	0.6018608388492872	0.577537934871775	0.6232932985853914	1910	982	703	ok	0.602 [0.578, 0.623]
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_target_peer_deg_lfc_spearman_pair_p05_sd_score	0.4325986633907657	0.4134895326756217	0.4516483539568046	1910	982	703	ok	0.433 [0.413, 0.452]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_delta_vs_source_centroid_deg_lfc_spearman_p05	-0.1645306085797552	-0.2525703939625092	-0.0930207125873174	127	79	79	ok	-0.165 [-0.253, -0.093]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_delta_vs_source_peer_deg_lfc_spearman_p05	0.1881484585511061	0.1075491773391931	0.2555184478471496	127	79	79	ok	+0.188 [0.108, 0.256]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_delta_vs_target_centroid_deg_lfc_spearman_p05	-0.008758604372152	-0.1217424470128265	0.0720609884372026	127	79	79	ok	-0.009 [-0.122, 0.072]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_delta_vs_target_peer_deg_lfc_spearman_p05	0.2384920902258529	0.1462534645267974	0.3081893248066539	127	79	79	ok	+0.238 [0.146, 0.308]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_observed_deg_lfc_spearman_sym_p05	0.3085312152420105	0.2220480360726615	0.3822730689577525	127	79	79	ok	0.309 [0.222, 0.382]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_source_centroid_deg_lfc_spearman_pair_p05	0.4932947522465585	0.4279220586264908	0.5495246301062737	127	123	120	ok	0.493 [0.428, 0.550]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_source_peer_deg_lfc_spearman_pair_p05	0.1627670327855049	0.1297605374930667	0.1970487617772724	127	124	121	ok	0.163 [0.130, 0.197]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_source_peer_deg_lfc_spearman_pair_p05_corrected_percentile	0.5380835293173516	0.4758438310924046	0.5977443549189052	127	124	121	ok	0.538 [0.476, 0.598]
