dataset_pair	dataset_a	dataset_b	similarity_metric	scale_variant	metric	mean	ci_low	ci_high	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_rows	n_finite_rows	n_compounds	uncertainty_scope
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	cosine	per_gene_population_zscore_dataset	target_peer_normalized_rank	0.5266198020312736	0.5221255472980081	0.5307240229090713	bca	ok	0.95	2000	855	855	124	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	cosine	per_gene_population_zscore_dataset	delta_vs_source_peer_normalized_rank	0.1436033777669272	0.0980373818949968	0.1948935438366753	bca	ok	0.95	2000	21857	21576	257	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	cosine	per_gene_population_zscore_dataset	delta_vs_target_peer_normalized_rank	0.2395077926205234	0.2002627440923232	0.2878154101386854	bca	ok	0.95	2000	21857	21442	257	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	cosine	per_gene_population_zscore_dataset	observed_auroc	0.7728956717106041	0.7381008081906153	0.8214212724864679	bca	ok	0.95	2000	21857	21857	257	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	cosine	per_gene_population_zscore_dataset	observed_normalized_best_positive_rank	0.775294631360553	0.7389662248414602	0.8205296055527549	bca	ok	0.95	2000	21857	21857	257	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	cosine	per_gene_population_zscore_dataset	observed_recall_at_1	0.2507131784281786	0.1867915992904138	0.3448310530863048	bca	ok	0.95	2000	21857	21857	257	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	cosine	per_gene_population_zscore_dataset	source_individual_corrected_percentile	0.65594307137198	0.6062164713665511	0.7240156495994217	bca	ok	0.95	2000	21857	21576	257	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	cosine	per_gene_population_zscore_dataset	source_peer_normalized_rank	0.6300312762181982	0.6162982539596217	0.6460109273445561	bca	ok	0.95	2000	21857	21576	257	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	cosine	per_gene_population_zscore_dataset	target_individual_corrected_percentile	0.7690864719064918	0.7324818557506612	0.813629681696494	bca	ok	0.95	2000	21857	21442	257	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	cosine	per_gene_population_zscore_dataset	target_peer_normalized_rank	0.5304431021090932	0.5226569469271921	0.5402487387611854	bca	ok	0.95	2000	21857	21442	257	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Sciplex	l1000_phase1	sciplex	cosine	per_gene_population_zscore_dataset	delta_vs_source_peer_normalized_rank	0.0647817004643808	0.0238550527605158	0.1059023222729883	bca	ok	0.95	2000	1897	1876	90	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Sciplex	l1000_phase1	sciplex	cosine	per_gene_population_zscore_dataset	delta_vs_target_peer_normalized_rank	0.1605125271003508	0.116317294481648	0.2026128347942201	bca	ok	0.95	2000	1897	1887	90	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Sciplex	l1000_phase1	sciplex	cosine	per_gene_population_zscore_dataset	observed_auroc	0.6836065636683843	0.6435315682412055	0.7223957268706156	bca	ok	0.95	2000	1897	1897	90	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
