dataset_name	similarity_metric	scale_variant	n_conditions	n_compounds	mean_candidates	Observed rank [95% CI]	Recall@1 [95% CI]	AUROC [95% CI]	Null rank	Centroid rank [95% CI]	Delta centroid [95% CI]	Observed minus null [95% CI]
gdpx2	cosine	raw	2064	86	2231.0	0.994 [0.993, 0.995]	0.366 [0.317, 0.422]	0.984 [0.978, 0.988]	0.753	0.954 [0.947, 0.959]	0.040 [0.035, 0.047]	0.241 [0.232, 0.244]
gdpx2	spearman	per_gene_population_zscore_dataset	2064	86	2231.0	0.994 [0.993, 0.995]	0.384 [0.334, 0.444]	0.980 [0.974, 0.983]	0.753	0.901 [0.882, 0.913]	0.093 [0.081, 0.112]	0.241 [0.231, 0.244]
gdpx2	spearman	per_gene_population_zscore_dataset_cell_type	2064	86	2231.0	0.994 [0.993, 0.995]	0.389 [0.335, 0.449]	0.980 [0.975, 0.983]	0.753	0.803 [0.777, 0.824]	0.191 [0.170, 0.216]	0.241 [0.230, 0.244]
gdpx2	spearman	raw	2064	86	2231.0	0.994 [0.992, 0.995]	0.378 [0.326, 0.433]	0.982 [0.976, 0.985]	0.753	0.947 [0.941, 0.952]	0.047 [0.042, 0.052]	0.241 [0.228, 0.244]
l1000_phase1	cosine	per_gene_population_zscore_dataset	2517	272	1289.0484704012713	0.846 [0.831, 0.860]	0.110 [0.090, 0.134]	0.690 [0.670, 0.712]	0.712	0.761 [0.745, 0.774]	0.086 [0.071, 0.102]	0.133 [0.120, 0.146]
l1000_phase1	cosine	per_gene_population_zscore_dataset_cell_type	2517	272	1289.0484704012713	0.847 [0.833, 0.862]	0.110 [0.090, 0.133]	0.693 [0.673, 0.714]	0.712	0.710 [0.696, 0.726]	0.138 [0.121, 0.156]	0.135 [0.123, 0.148]
l1000_phase1	cosine	raw	2517	272	1289.0484704012713	0.834 [0.817, 0.848]	0.103 [0.084, 0.127]	0.675 [0.654, 0.695]	0.712	0.776 [0.759, 0.789]	0.060 [0.044, 0.075]	0.122 [0.109, 0.135]
l1000_phase1	spearman	per_gene_population_zscore_dataset	2517	272	1289.0484704012713	0.861 [0.846, 0.875]	0.115 [0.095, 0.141]	0.711 [0.692, 0.733]	0.712	0.715 [0.700, 0.729]	0.147 [0.130, 0.163]	0.149 [0.136, 0.161]
l1000_phase1	spearman	per_gene_population_zscore_dataset_cell_type	2517	272	1289.0484704012713	0.864 [0.849, 0.878]	0.115 [0.096, 0.140]	0.716 [0.697, 0.736]	0.712	0.668 [0.653, 0.685]	0.197 [0.179, 0.213]	0.152 [0.139, 0.164]
l1000_phase1	spearman	raw	2517	272	1289.0484704012713	0.855 [0.840, 0.869]	0.112 [0.092, 0.135]	0.701 [0.682, 0.725]	0.712	0.728 [0.714, 0.743]	0.127 [0.110, 0.142]	0.142 [0.129, 0.155]
l1000_phase2	cosine	per_gene_population_zscore_dataset	2614	226	1887.8653404743688	0.868 [0.856, 0.880]	0.157 [0.125, 0.198]	0.732 [0.716, 0.748]	0.694	0.672 [0.653, 0.691]	0.196 [0.179, 0.213]	0.174 [0.165, 0.184]
l1000_phase2	cosine	per_gene_population_zscore_dataset_cell_type	2614	226	1887.8653404743688	0.875 [0.864, 0.885]	0.161 [0.128, 0.202]	0.746 [0.730, 0.761]	0.694	0.630 [0.611, 0.649]	0.245 [0.225, 0.264]	0.181 [0.172, 0.190]
l1000_phase2	cosine	raw	2614	226	1887.8653404743688	0.838 [0.824, 0.851]	0.147 [0.116, 0.188]	0.684 [0.667, 0.703]	0.694	0.699 [0.680, 0.718]	0.138 [0.121, 0.156]	0.144 [0.133, 0.155]
l1000_phase2	spearman	per_gene_population_zscore_dataset	2614	226	1887.8653404743688	0.893 [0.883, 0.901]	0.168 [0.137, 0.210]	0.773 [0.759, 0.786]	0.694	0.598 [0.577, 0.619]	0.295 [0.276, 0.314]	0.199 [0.190, 0.207]
l1000_phase2	spearman	per_gene_population_zscore_dataset_cell_type	2614	226	1887.8653404743688	0.895 [0.886, 0.904]	0.170 [0.138, 0.210]	0.778 [0.765, 0.792]	0.694	0.580 [0.559, 0.600]	0.315 [0.294, 0.335]	0.201 [0.193, 0.210]
l1000_phase2	spearman	raw	2614	226	1887.8653404743688	0.887 [0.877, 0.897]	0.163 [0.131, 0.199]	0.762 [0.749, 0.778]	0.694	0.608 [0.585, 0.632]	0.279 [0.259, 0.300]	0.193 [0.185, 0.202]
