dataset_name	observed_deg_lfc_spearman_sym_p05	centroid_baseline_deg_lfc_spearman_sym_p05	delta_vs_centroid_deg_lfc_spearman_sym_p05	individual_peer_mean_deg_lfc_spearman_sym_p05	delta_vs_individual_peer_deg_lfc_spearman_sym_p05	individual_peer_corrected_percentile_deg_lfc_spearman_sym_p05
cigs_mce	0.454 [0.444, 0.464]					
cigs_tcm	0.544 [0.521, 0.565]					
l1000_phase1	0.085 [0.058, 0.121]	0.256 [0.237, 0.275]	-0.175 [-0.196, -0.146]	-0.012 [-0.022, -0.001]	0.095 [0.074, 0.123]	0.596 [0.576, 0.619]
l1000_phase2	0.013 [-0.023, 0.050]	0.218 [0.202, 0.239]	-0.207 [-0.234, -0.180]	-0.091 [-0.102, -0.081]	0.104 [0.077, 0.136]	0.598 [0.575, 0.626]
sciplex	0.355 [0.304, 0.403]	0.403 [0.371, 0.432]	-0.119 [-0.161, -0.079]	0.110 [0.103, 0.118]	0.244 [0.199, 0.291]	0.721 [0.685, 0.756]
tahoe	0.481 [0.392, 0.554]	0.631 [0.586, 0.672]	-0.152 [-0.205, -0.094]	0.364 [0.322, 0.403]	0.117 [0.059, 0.176]	0.654 [0.592, 0.711]
