dataset_pair	dataset_a	dataset_b	scale_variant	metric	mean	ci_low	ci_high	n_rows	n_finite_rows	n_compounds	ci_status	estimate_95_ci
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	raw_source_peer_direction_agreement_pair_p05_sd_score	0.13420737586836096	0.1247837549363525	0.15001765332228514	127	55	55	ok	0.134 [0.125, 0.150]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	raw_target_centroid_direction_agreement_pair_p05	0.6853933766730123	0.654001842984556	0.70969070745451	127	124	121	ok	0.685 [0.654, 0.710]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	raw_target_peer_direction_agreement_pair_p05	0.5603529906008383	0.5509360017464885	0.5700354191351041	127	55	55	ok	0.560 [0.551, 0.570]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	raw_target_peer_direction_agreement_pair_p05_corrected_percentile	0.9019720386845186	0.816368536746547	0.9529775069241818	127	55	55	ok	0.902 [0.816, 0.953]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	raw_target_peer_direction_agreement_pair_p05_fraction_below_observed	0.9015783483877996	0.8080935085176044	0.9492296192801566	127	55	55	ok	0.902 [0.808, 0.949]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	raw_target_peer_direction_agreement_pair_p05_sd_score	0.11390823375015363	0.10259026076805115	0.13113072781577936	127	55	55	ok	0.114 [0.103, 0.131]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	baseline_pair_direction_agreement_p05	0.7244357240285955	0.712196395591774	0.7355361413888368	1060	1054	256	ok	0.724 [0.712, 0.736]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	delta_vs_baseline_pair_direction_agreement_p05	0.15615018324475022	0.14122228015383953	0.17188655394349303	1060	845	211	ok	+0.156 [0.141, 0.172]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	observed_direction_agreement_p05	0.9174928909719515	0.9027128713581862	0.9297147928131225	1060	845	211	ok	0.917 [0.903, 0.930]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_delta_vs_source_centroid_direction_agreement_p05	0.15615018324475022	0.1402657391116019	0.17115809819996305	1060	845	211	ok	+0.156 [0.140, 0.171]
