dataset_pair	dataset_a	dataset_b	scale_variant	metric	mean	ci_low	ci_high	n_rows	n_finite_rows	n_compounds	ci_status	estimate_95_ci
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	w4_target_peer_deg_lfc_spearman_pair_p05_corrected_percentile	0.6430011065252236	0.5841631074994682	0.7011868381189303	127	124	121	ok	0.643 [0.584, 0.701]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	w4_target_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	0.6416572471604224	0.5780500959231119	0.6977028240582553	127	124	121	ok	0.642 [0.578, 0.698]
L1000 Phase1–Cigs Mce	l1000_phase1	cigs_mce	raw	w4_target_peer_deg_lfc_spearman_pair_p05_sd_score	0.33856765907287484	0.30277295935555903	0.3832169628353527	127	124	121	ok	0.339 [0.303, 0.383]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	w4_delta_vs_source_centroid_deg_lfc_spearman_p05	-0.09433094474177613	-0.12657470269494872	-0.06009620453855365	1060	985	242	ok	-0.094 [-0.127, -0.060]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	w4_delta_vs_source_peer_deg_lfc_spearman_p05	0.26745137074281156	0.23391633431296294	0.3023975439184985	1060	985	242	ok	+0.267 [0.234, 0.302]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	w4_delta_vs_target_centroid_deg_lfc_spearman_p05	0.050184783377538095	0.019703432181506244	0.07909162379890011	1060	985	242	ok	+0.050 [0.020, 0.079]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	w4_delta_vs_target_peer_deg_lfc_spearman_p05	0.3183958458555296	0.28204857052464766	0.35087516866642016	1060	985	242	ok	+0.318 [0.282, 0.351]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	w4_observed_deg_lfc_spearman_sym_p05	0.3715759013036289	0.3332860664436082	0.41183860240586156	1060	985	242	ok	0.372 [0.333, 0.412]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	w4_source_centroid_deg_lfc_spearman_pair_p05	0.4558129229163247	0.4341923579596522	0.4775774354683543	1060	1049	254	ok	0.456 [0.434, 0.478]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	w4_source_peer_deg_lfc_spearman_pair_p05	0.09633474307307582	0.08622117044748623	0.106329484602002	1060	1049	254	ok	0.096 [0.086, 0.106]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	w4_source_peer_deg_lfc_spearman_pair_p05_corrected_percentile	0.7022345441712665	0.6758832312218012	0.7316108054461367	1060	1049	254	ok	0.702 [0.676, 0.732]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	w4_source_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	0.6994320170434868	0.6712986973581563	0.7292342746586951	1060	1049	254	ok	0.699 [0.671, 0.729]
