dataset_name	summary_level	metric	value_col	mean	ci_low	ci_high	ci_half_width	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_bootstrap_valid	n_rows	n_finite_rows	n_compounds	cluster_col	inner_strata	outer_strata	uncertainty_scope
cigs_mce	table_10_dataset	raw_delta_vs_individual_peer_cosine	mean_replicate_minus_peer_baseline_cosine_logfc_raw	0.06700155800917146	0.06525940247180252	0.0691420596158945	0.001941328572045986	bca	ok	0.95	2000	2000	21426	21426	11126	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_10_dataset	dataset_normalized_observed_replicate_cosine	mean_replicate_cosine_logfc_normalized_dataset	0.08733571020081035	0.08539363255840417	0.08933408498202462	0.0019702262118102276	bca	ok	0.95	2000	2000	21426	21426	11126	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_10_dataset	dataset_normalized_centroid_baseline_cosine	mean_replicate_baseline_cosine_logfc_normalized_dataset	0.10593672266894481	0.10463652642557073	0.10720433445550688	0.0012839040149680778	bca	ok	0.95	2000	2000	21426	21426	11126	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_10_dataset	dataset_normalized_delta_vs_centroid_cosine	mean_replicate_minus_baseline_cosine_logfc_normalized_dataset	-0.01860101246813443	-0.020957842005610964	-0.016135353967240466	0.0024112440191852488	bca	ok	0.95	2000	2000	21426	21426	11126	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_10_dataset	dataset_normalized_individual_peer_mean_cosine	mean_peer_baseline_cosine_logfc_normalized_dataset	0.013646722718817601	0.013443540381342187	0.013864231110115961	0.00021034536438688679	bca	ok	0.95	2000	2000	21426	21426	11126	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_10_dataset	dataset_normalized_individual_peer_sd_cosine	mean_peer_baseline_sd_cosine_logfc_normalized_dataset	0.06538834778721246	0.06509882855284911	0.06571290358879975	0.0003070375179753185	bca	ok	0.95	2000	2000	21426	21426	11126	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_10_dataset	dataset_normalized_individual_peer_fraction_below_observed_cosine	mean_peer_baseline_fraction_below_observed_cosine_logfc_normalized_dataset	0.6723613185578797	0.6688485825028087	0.6761202531870159	0.0036358353421035994	bca	ok	0.95	2000	2000	21426	21426	11126	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_10_dataset	dataset_normalized_individual_peer_corrected_percentile_cosine	mean_peer_baseline_corrected_percentile_cosine_logfc_normalized_dataset	0.6736361772405339	0.6700147214755153	0.6772927805364645	0.003639029530474569	bca	ok	0.95	2000	2000	21426	21426	11126	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_10_dataset	dataset_normalized_delta_vs_individual_peer_cosine	mean_replicate_minus_peer_baseline_cosine_logfc_normalized_dataset	0.07368898748199272	0.07156871036081382	0.07580105139301142	0.002116170516098803	bca	ok	0.95	2000	2000	21426	21426	11126	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_10_dataset	dataset_cell_type_normalized_observed_replicate_cosine	mean_replicate_cosine_logfc_normalized_dataset_cell_type	0.07894047948021421	0.07697453124280144	0.08094436690410581	0.0019849178306521817	bca	ok	0.95	2000	2000	21426	21426	11126	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_10_dataset	dataset_cell_type_normalized_centroid_baseline_cosine	mean_replicate_baseline_cosine_logfc_normalized_dataset_cell_type	0.010836476176041724	0.009318134179840109	0.012489390887334773	0.0015856283537473322	bca	ok	0.95	2000	2000	21426	21426	11126	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_10_dataset	dataset_cell_type_normalized_delta_vs_centroid_cosine	mean_replicate_minus_baseline_cosine_logfc_normalized_dataset_cell_type	0.0681040033041725	0.06522592297006059	0.07104077822371002	0.0029074276268247143	bca	ok	0.95	2000	2000	21426	21426	11126	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_10_dataset	dataset_cell_type_normalized_individual_peer_mean_cosine	mean_peer_baseline_cosine_logfc_normalized_dataset_cell_type	0.0021003894433685674	0.001971140587138916	0.00221649670414236	0.0001226780585017219	bca	ok	0.95	2000	2000	21426	21426	11126	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_10_dataset	dataset_cell_type_normalized_individual_peer_sd_cosine	mean_peer_baseline_sd_cosine_logfc_normalized_dataset_cell_type	0.06508623178604807	0.06479635930566176	0.06539619067783548	0.00029991568608685876	bca	ok	0.95	2000	2000	21426	21426	11126	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_10_dataset	dataset_cell_type_normalized_individual_peer_fraction_below_observed_cosine	mean_peer_baseline_fraction_below_observed_cosine_logfc_normalized_dataset_cell_type	0.6838502237745382	0.6800638313936028	0.687488104374089	0.003712136490243101	bca	ok	0.95	2000	2000	21426	21426	11126	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_10_dataset	dataset_cell_type_normalized_individual_peer_corrected_percentile_cosine	mean_peer_baseline_corrected_percentile_cosine_logfc_normalized_dataset_cell_type	0.6850803785458434	0.6813583965972148	0.6885674637962914	0.0036045335995383287	bca	ok	0.95	2000	2000	21426	21426	11126	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	table_10_dataset	dataset_cell_type_normalized_delta_vs_individual_peer_cosine	mean_replicate_minus_peer_baseline_cosine_logfc_normalized_dataset_cell_type	0.07684009003684564	0.07482486043218378	0.0789942423997649	0.002084690983790556	bca	ok	0.95	2000	2000	21426	21426	11126	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_tcm	table_10_dataset	observed_replicate_spearman_logfc	mean_replicate_spearman_logfc	0.10253765574286222	0.0992399777647038	0.10598800506275725	0.0033740136490267303	bca	ok	0.95	2000	2000	7020	7020	1816	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_tcm	table_10_dataset	centroid_baseline_spearman_logfc	mean_replicate_baseline_spearman_logfc	0.07585408666086557	0.07383563733591222	0.07798990165032701	0.0020771321572073953	bca	ok	0.95	2000	2000	7020	7020	1816	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
