dataset_a	dataset_b	scale_variant	summary_level	metric	value_col	mean	ci_low	ci_high	ci_half_width	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_bootstrap_valid	n_rows	n_finite_rows	n_compounds	cluster_col	inner_strata	outer_strata	uncertainty_scope
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_target_peer_deg_lfc_spearman_pair_p05_sd_score	mean_w4_target_peer_deg_lfc_spearman_pair_p05_sd_score	0.4325986633907657	0.4141995666509836	0.4522219509772408	0.019011192163128604	bca	ok	0.95	2000	2000	1910	982	703	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_target_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	mean_w4_target_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	0.6018608388492872	0.5782612277453894	0.6244611651287345	0.02309996869167258	bca	ok	0.95	2000	2000	1910	982	703	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
cigs_mce	cigs_tcm	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_target_peer_deg_lfc_spearman_pair_p05_corrected_percentile	mean_w4_target_peer_deg_lfc_spearman_pair_p05_corrected_percentile	0.6034544470864162	0.5793464727903255	0.6266458429303461	0.023649685070010307	bca	ok	0.95	2000	2000	1910	982	703	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_observed_deg_lfc_spearman_sym_p05	mean_w4_observed_deg_lfc_spearman_sym_p05	0.3085312152420105	0.21729286524596927	0.3760135283682286	0.07936033156112966	bca	ok	0.95	2000	2000	127	79	79	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_source_centroid_deg_lfc_spearman_pair_p05	mean_w4_source_centroid_deg_lfc_spearman_pair_p05	0.4932947522465585	0.4305019275983951	0.5484880207826192	0.05899304659211202	bca	ok	0.95	2000	2000	127	123	120	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_delta_vs_source_centroid_deg_lfc_spearman_p05	mean_w4_delta_vs_source_centroid_deg_lfc_spearman_p05	-0.1645306085797553	-0.25329288244211434	-0.0909981277424879	0.08114737734981323	bca	ok	0.95	2000	2000	127	79	79	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_target_centroid_deg_lfc_spearman_pair_p05	mean_w4_target_centroid_deg_lfc_spearman_pair_p05	0.24821946018967564	0.17210781915323314	0.31886412221831145	0.07337815153253915	bca	ok	0.95	2000	2000	127	123	120	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_delta_vs_target_centroid_deg_lfc_spearman_p05	mean_w4_delta_vs_target_centroid_deg_lfc_spearman_p05	-0.008758604372152014	-0.11898997394691015	0.07933933876251624	0.0991646563547132	bca	ok	0.95	2000	2000	127	79	79	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_source_peer_deg_lfc_spearman_pair_p05	mean_w4_source_peer_deg_lfc_spearman_pair_p05	0.162767032785505	0.12869444749152523	0.19717809397338107	0.03424182324092792	bca	ok	0.95	2000	2000	127	124	121	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_delta_vs_source_peer_deg_lfc_spearman_p05	mean_w4_delta_vs_source_peer_deg_lfc_spearman_p05	0.18814845855110607	0.10311616370253913	0.2592872303067431	0.078085533302102	bca	ok	0.95	2000	2000	127	79	79	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_source_peer_deg_lfc_spearman_pair_p05_sd_score	mean_w4_source_peer_deg_lfc_spearman_pair_p05_sd_score	0.3814897512739838	0.34851862973441927	0.42336003616203927	0.03742070321381	bca	ok	0.95	2000	2000	127	124	121	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_source_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	mean_w4_source_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	0.5331492286499996	0.4702939713320132	0.5946060374604456	0.06215603306421619	bca	ok	0.95	2000	2000	127	124	121	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_source_peer_deg_lfc_spearman_pair_p05_corrected_percentile	mean_w4_source_peer_deg_lfc_spearman_pair_p05_corrected_percentile	0.5380835293173515	0.47569372074702426	0.5963962622052196	0.060351270729097656	bca	ok	0.95	2000	2000	127	124	121	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_target_peer_deg_lfc_spearman_pair_p05	mean_w4_target_peer_deg_lfc_spearman_pair_p05	0.052435529515800265	0.029015189341035297	0.07276951542785258	0.021877163043408643	bca	ok	0.95	2000	2000	127	124	121	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_delta_vs_target_peer_deg_lfc_spearman_p05	mean_w4_delta_vs_target_peer_deg_lfc_spearman_p05	0.23849209022585288	0.14504409919080638	0.3084394761584717	0.08169768848383267	bca	ok	0.95	2000	2000	127	79	79	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_target_peer_deg_lfc_spearman_pair_p05_sd_score	mean_w4_target_peer_deg_lfc_spearman_pair_p05_sd_score	0.34974994458308745	0.3116120484188775	0.39757496804073894	0.04298145981093071	bca	ok	0.95	2000	2000	127	124	121	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_target_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	mean_w4_target_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	0.634893759736936	0.5780802106879396	0.6934244036728663	0.057672096492463354	bca	ok	0.95	2000	2000	127	124	121	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	cigs_mce	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_target_peer_deg_lfc_spearman_pair_p05_corrected_percentile	mean_w4_target_peer_deg_lfc_spearman_pair_p05_corrected_percentile	0.6366022922616336	0.5750193804636077	0.6916628118436993	0.058321715690045794	bca	ok	0.95	2000	2000	127	124	121	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_observed_deg_lfc_spearman_sym_p05	mean_w4_observed_deg_lfc_spearman_sym_p05	0.3529871244712682	0.3149903830114461	0.3961027414577968	0.04055617922317534	bca	ok	0.95	2000	2000	1060	985	242	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_source_centroid_deg_lfc_spearman_pair_p05	mean_w4_source_centroid_deg_lfc_spearman_pair_p05	0.3799508215122784	0.35891711253569936	0.40036330654221	0.02072309700325531	bca	ok	0.95	2000	2000	1060	1049	254	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_delta_vs_source_centroid_deg_lfc_spearman_p05	mean_w4_delta_vs_source_centroid_deg_lfc_spearman_p05	-0.03531682084931803	-0.06953554575978428	-0.0008836452213074553	0.03432595026923841	bca	ok	0.95	2000	2000	1060	985	242	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_target_centroid_deg_lfc_spearman_pair_p05	mean_w4_target_centroid_deg_lfc_spearman_pair_p05	0.22190120540854905	0.19985689767582782	0.24381488849049757	0.021978995407334875	bca	ok	0.95	2000	2000	1060	1052	255	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_delta_vs_target_centroid_deg_lfc_spearman_p05	mean_w4_delta_vs_target_centroid_deg_lfc_spearman_p05	0.12076892345646267	0.08800962633343809	0.15050309463130807	0.031246734148934988	bca	ok	0.95	2000	2000	1060	985	242	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	per_gene_population_zscore_dataset	w4_deg_dataset_pair	w4_source_peer_deg_lfc_spearman_pair_p05	mean_w4_source_peer_deg_lfc_spearman_pair_p05	0.05608537373477399	0.047686189273340215	0.06387515716664054	0.00809448394665016	bca	ok	0.95	2000	2000	1060	1049	254	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
