dose_threshold	threshold_order	max_fold_difference	max_abs_delta_log10_dose	is_reference	dataset_a	dataset_b	cell_type	n_matched_sample_pairs	n_matching_conditions	n_matching_drugs	n_eligible_contexts	n_scored_sample_pairs	n_scored_drug_line_times	mean_observed_deg_lfc_spearman_sym_p05	mean_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_observed_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05
3x	2	3.0	0.47712125471966244	False	l1000_phase1	l1000_phase2	CVCL_0132	2747	100	34	1	1197	17.0	0.3229493893086418	0.5430618480004118	-0.21565490403601134	0.8963037019677105	0.7826620651898616	0.055657999073743254
3x	2	3.0	0.47712125471966244	False	l1000_phase1	l1000_phase2	CVCL_0178	2670	251	63	1	1367	63.0	0.2646019475513455	0.5006256914765248	-0.15403351111313113	0.9323749851835096	0.7690681570975475	0.13640895135132655
3x	2	3.0	0.47712125471966244	False	l1000_phase1	l1000_phase2	CVCL_0320	1699	60	26	1	492	8.0	0.13929143047950993	0.4346518503286587	-0.29286712530249664	0.8570767195767196	0.7197340930031528	0.07766539295704127
3x	2	3.0	0.47712125471966244	False	l1000_phase1	l1000_phase2	CVCL_0332	2220	251	63	1	1149	63.0	0.18914933147853152	0.40971090900596746	-0.24570643925734925	0.9641963382176787	0.7160699920241631	0.2220393656808592
3x	2	3.0	0.47712125471966244	False	l1000_phase1	l1000_phase2	CVCL_0598	2348	250	63	1	1197	63.0	0.2190965079077428	0.448290396943232	-0.22123809779150488	0.8979070749843082	0.7462959393965362	0.061904314299332616
3x	2	3.0	0.47712125471966244	False	l1000_phase1	l1000_phase2	CVCL_5136	945	58	28	1	264	6.0	-0.06843463095041007	0.3514006929648026	-0.3866396607206141	1.0	0.7128316269804996	0.22153333068216444
3x	2	3.0	0.47712125471966244	False	l1000_phase1	l1000_phase2	CVCL_U602	763	34	34	1	0							
3x	2	3.0	0.47712125471966244	False	l1000_phase1	l1000_phase2	CVCL_VU89	1567	70	35	1	484	7.0	-0.057687561492051224	0.46625875998228145	-0.5082280608036281	0.7439450250118405	0.6998446618666904	0.02462653833970792
3x	2	3.0	0.47712125471966244	False	l1000_phase1	l1000_phase2	NEU	609	34	31	1	36	1.0	0.15464112595779683	0.12341934792073826	0.031221778037058594	1.0	0.5547157622739018	0.40403746770025845
3x	2	3.0	0.47712125471966244	False	l1000_phase1	l1000_phase2	NPC	1019	37	34	1	48	1.0	0.6439434853761076	0.5142962264197118	0.1296472589563957	0.9879032258064516	0.7540785546079775	0.2338246711984742
3x	2	3.0	0.47712125471966244	False	l1000_phase1	sciplex	CVCL_0023	898	112	74	1	154	15.0	0.10132015465313327	0.24229873096526564	-0.0448332088820735	1.0	0.5435695415752482	0.2778804999143982
3x	2	3.0	0.47712125471966244	False	l1000_phase1	sciplex	CVCL_0031	1791	178	90	1	260	38.0	0.31416743465601094	0.2537354778570569	-0.25001802939501616	0.8850446428571428	0.731071582250061	0.08028695963987725
3x	2	3.0	0.47712125471966244	False	l1000_phase1	tahoe	CVCL_0023	399	94	82	1	37	7.0	0.15538907365158344	0.4701567828228992	-0.19796384409024395	0.8063448979765212	0.7525280379248543	0.08082371051227183
3x	2	3.0	0.47712125471966244	False	l1000_phase1	tahoe	CVCL_0320	89	22	18	1	15	3.0	0.48463030299195603	0.47677950520215434	-0.005783710056030747	0.8120677447957334	0.7028818818883762	0.10809457231281926
3x	2	3.0	0.47712125471966244	False	l1000_phase1	tahoe	CVCL_0332	112	33	11	1	78	11.0	0.06045654159903909	0.37862960630420583	-0.3981813163832801	0.575462962962963	0.7338475994148986	-0.23687766464878024
3x	2	3.0	0.47712125471966244	False	l1000_phase2	cigs_mce	CVCL_0062	499	67	67	1	0							
3x	2	3.0	0.47712125471966244	False	l1000_phase2	sciplex	CVCL_0023	1400	132	44	1	470	44.0	-0.0785714285714286	0.23168584533089087	-0.19285714285714292	1.0	0.7134494265924535	0.0760869565217391
3x	2	3.0	0.47712125471966244	False	l1000_phase2	sciplex	CVCL_0031	1792	249	83	1	558	83.0	0.41559134818007953	0.20561390892292852	-0.009781014903794188	0.9256972763621553	0.6130299588226172	0.21992834262055008
3x	2	3.0	0.47712125471966244	False	l1000_phase2	tahoe	CVCL_0023	389	72	24	1	256	24.0	0.153301411278669	0.46049562491402474	-0.2831696838076078	0.7663930777093673	0.7180018933080814	-0.030091646054777144
3x	2	3.0	0.47712125471966244	False	l1000_phase2	tahoe	CVCL_0320	1084	330	110	1	692	110.0	0.040826077069288015	0.21698639314201335	-0.3157722870277365	0.6058603429324226	0.657518758109526	-0.17748324791325198
3x	2	3.0	0.47712125471966244	False	tahoe	sciplex	CVCL_0023	170	69	23	1	52	23.0	0.15785887696601744	0.5121751091782397	-0.41269642524999023	0.8933727687837277	0.8888464119091276	0.14580006737005538
10x_reference	3	10.0	1.0	True	cigs_mce	cigs_tcm	CVCL_0062	7842	948	948	1	0							
10x_reference	3	10.0	1.0	True	cigs_mce	cigs_tcm	CVCL_0063	8131	963	963	1	0							
10x_reference	3	10.0	1.0	True	l1000_phase1	cigs_mce	CVCL_0062	1047	113	113	1	0							
10x_reference	3	10.0	1.0	True	l1000_phase1	cigs_mce	CVCL_0063	354	14	14	1	0							
