dataset_a	dataset_b	n_matched_sample_pairs	n_matching_lines	n_matching_drugs	n_matching_conditions	n_matching_drug_line_times	mean_n_common_genes	mean_left_peer_total_count	mean_right_peer_total_count	mean_left_peer_scored_count	mean_right_peer_scored_count	mean_pb_observed_spearman_logfc	mean_pb_source_centroid_spearman_logfc_left	mean_pb_source_centroid_spearman_logfc_right	mean_pb_source_centroid_spearman_logfc_pair	mean_pb_delta_vs_source_centroid_spearman_logfc	mean_pb_target_centroid_spearman_logfc_left	mean_pb_target_centroid_spearman_logfc_right	mean_pb_target_centroid_spearman_logfc_pair	mean_pb_delta_vs_target_centroid_spearman_logfc	mean_pb_source_peer_spearman_logfc_left_n_peers	mean_pb_source_peer_spearman_logfc_left_mean_score	mean_pb_source_peer_spearman_logfc_left_sd_score	mean_pb_source_peer_spearman_logfc_left_n_below_observed	mean_pb_source_peer_spearman_logfc_left_fraction_below_observed	mean_pb_source_peer_spearman_logfc_left_corrected_percentile	mean_pb_source_peer_spearman_logfc_left_n_at_least_observed	mean_pb_source_peer_spearman_logfc_left_empirical_p_upper	mean_pb_source_peer_spearman_logfc_right_n_peers	mean_pb_source_peer_spearman_logfc_right_mean_score	mean_pb_source_peer_spearman_logfc_right_sd_score	mean_pb_source_peer_spearman_logfc_right_n_below_observed	mean_pb_source_peer_spearman_logfc_right_fraction_below_observed	mean_pb_source_peer_spearman_logfc_right_corrected_percentile	mean_pb_source_peer_spearman_logfc_right_n_at_least_observed	mean_pb_source_peer_spearman_logfc_right_empirical_p_upper	mean_pb_source_peer_spearman_logfc_pair	mean_pb_delta_vs_source_peer_spearman_logfc	mean_pb_source_peer_spearman_logfc_pair_sd_score	mean_pb_source_peer_spearman_logfc_pair_fraction_below_observed	mean_pb_source_peer_spearman_logfc_pair_corrected_percentile	mean_pb_target_peer_spearman_logfc_left_n_peers	mean_pb_target_peer_spearman_logfc_left_mean_score	mean_pb_target_peer_spearman_logfc_left_sd_score	mean_pb_target_peer_spearman_logfc_left_n_below_observed	mean_pb_target_peer_spearman_logfc_left_fraction_below_observed	mean_pb_target_peer_spearman_logfc_left_corrected_percentile	mean_pb_target_peer_spearman_logfc_left_n_at_least_observed	mean_pb_target_peer_spearman_logfc_left_empirical_p_upper	mean_pb_target_peer_spearman_logfc_right_n_peers	mean_pb_target_peer_spearman_logfc_right_mean_score	mean_pb_target_peer_spearman_logfc_right_sd_score	mean_pb_target_peer_spearman_logfc_right_n_below_observed	mean_pb_target_peer_spearman_logfc_right_fraction_below_observed	mean_pb_target_peer_spearman_logfc_right_corrected_percentile	mean_pb_target_peer_spearman_logfc_right_n_at_least_observed	mean_pb_target_peer_spearman_logfc_right_empirical_p_upper	mean_pb_target_peer_spearman_logfc_pair	mean_pb_delta_vs_target_peer_spearman_logfc	mean_pb_target_peer_spearman_logfc_pair_sd_score	mean_pb_target_peer_spearman_logfc_pair_fraction_below_observed	mean_pb_target_peer_spearman_logfc_pair_corrected_percentile
l1000_phase1	l1000_phase2	50695	15	257	2836	1060	978.0	2313.117741142168	689.2350449458528	350.75388425525364	301.75925318581506	0.23924705585442463	0.306450729720861	0.27061188174910256	0.287689043520679	-0.04844198766625441	0.19962583346453708	0.12862441690457754	0.16393422517399056	0.07531283068043405	350.75388425525364	0.09003615539405066	0.15448994126307072	247.74181647473125	0.6797625180899736	0.6833329624544346	103.01206778052237	0.32417173371532054	301.75925318581506	0.10158851386388008	0.15369293499149922	215.35189107468196	0.6652163605953637	0.6688937268106744	86.40736211113307	0.33849330919653425	0.0955718289228369	0.1436752269315877	0.15388754506788005	0.6726822293290609	0.6762933586015047	301.75925318581506	0.0580501020908282	0.12994433371916905	232.30650418888203	0.761284959109299	0.7630741151559872	69.45274899693298	0.24431292085122136	350.75388425525364	0.034325044247932764	0.1224775795640561	273.12282584700796	0.7717164671770936	0.7733969481158326	77.63105840824568	0.23410774805392273	0.04612649569870876	0.19312056015571585	0.12605111934441462	0.7661290003084842	0.7678590199107725
l1000_phase1	sciplex	2653	2	90	285	162	776.7901234567901	4272.128824939694	180.745964032937	438.76157922462386	180.745964032937	0.09469713545828058	0.28515856863267086	0.24242597949976127	0.2637922740662161	-0.1690951386079355	0.09812467487690629	0.07164847744252253	0.08488657615971441	0.009810559298566172	438.76157922462386	0.07187535909784497	0.1547563993803599	232.9440271215772	0.5066232227212969	0.5101673469842567	205.81755210304664	0.49524098699742036	180.745964032937	0.06869719704064475	0.08962718416215486	94.45803430463707	0.522567295147557	0.5251948766541203	86.28792972829993	0.48030824935134364	0.07028627806924487	0.024410857389035725	0.12220370177938669	0.5145952589344269	0.5176811118191885	180.745964032937	0.025882267546514688	0.05444899300636263	119.35329965968327	0.6604196145077809	0.662287927072425	61.39266437325373	0.343215198933039	438.76157922462386	0.015902239828889164	0.046470331231153815	301.5135192229996	0.6844218103743528	0.6859430582924381	137.2480600016242	0.31946527568923905	0.020892253687701926	0.07380488177057865	0.05045574696583899	0.6724207124410668	0.6741154926824315
l1000_phase1	tahoe	610	3	86	152	114	940.9035087719299	3189.2421679197996	377.7050438596491	431.11936090225566	377.7050438596491	0.037680684116775776	0.16486526340461027	0.3786449713779712	0.2742542043075995	-0.2365735201908237	-0.016489054989285854	-0.01893285051056637	-0.016617075243389595	0.05429775936016537	431.11936090225566	0.04220738383581846	0.1573393713604351	206.56028961292117	0.4755568715258325	0.47846435639585955	224.55907128933444	0.5265434773004961	377.7050438596491	0.1633959308720223	0.1246051566595564	82.46538220551378	0.21833050317473207	0.220394581401392	295.2396616541353	0.7822460132133144	0.10435505209441132	-0.06667436797763554	0.14026838033712094	0.3488029466279778	0.3512637880996519	377.7050438596491	-0.0034879914511064215	0.04762763244176965	235.52741228070175	0.6236394015229256	0.6246330462944162	142.17763157894737	0.3780075483202902	431.11936090225566	-0.0036327034379484966	0.04686838252923956	255.6468776106934	0.6109471344752208	0.6122198102381101	175.47248329156224	0.3927880234582457	-0.003096969198515685	0.04077765331529146	0.04736971812281819	0.6217858182346749	0.6229038859776836
l1000_phase2	sciplex	3133	2	83	375	127	809.4488188976378	911.512599355147	182.58101408435414	398.15696150130873	182.58101408435414	0.10202561786690542	0.17869176000832632	0.23008244174680417	0.20438710087756523	-0.10236148301065981	0.08661683184450329	0.0701028603061723	0.0783598460753378	0.023665771791567623	398.15696150130873	0.05029316454463104	0.1300853396419598	225.39499547850636	0.5592682800468334	0.5604693889430016	172.76196602280237	0.4422193678066611	182.58101408435414	0.06107715846352389	0.08522988293938681	101.4961471163145	0.5566658232246181	0.5590768621503116	81.08486696803965	0.4463710000239776	0.055685161504077464	0.04634045636282795	0.10765761129067332	0.5579670516357257	0.5597731255466566	182.58101408435414	0.02185884314718601	0.05333426330836447	125.90773262011344	0.69014892976557	0.6918339727216095	56.67328146424072	0.3136138894526798	398.15696150130873	0.0149909879844939	0.04825551846999627	283.7329951962025	0.7086734207468037	0.7094679828572942	114.4239663051062	0.29322077389236845	0.018424915565839955	0.08360070230106546	0.050794890889180364	0.6994111752561869	0.7006509777894518
l1000_phase2	tahoe	1473	2	110	402	134	941.0	1266.545135585807	376.6392385599475	462.80766223825924	376.6392385599475	0.02703274553936203	0.1355392496366323	0.4171830497340353	0.2763611496853338	-0.24932840414597177	-0.006863484604979904	0.029229661785354008	0.011183088590187051	0.01584965694917498	462.80766223825924	0.04136352179793452	0.10862455746972002	197.07953775080642	0.43084833073555384	0.43212024657290793	265.7281244874529	0.5701411257012431	376.6392385599475	0.19161433500850766	0.11747388139755295	53.28008310097863	0.14136939290929104	0.14364337209677502	323.35915545896887	0.8590047216071186	0.11648892840322109	-0.08945618286385906	0.11304921943363648	0.28610886182242246	0.2878818093348415	376.6392385599475	-0.0011695934487930151	0.04836458225743397	224.3288372696955	0.5954913191199903	0.5965628016016232	152.31040129025203	0.4060852921022704	462.80766223825924	-0.0013023046465890262	0.048252428282070256	271.8473969438522	0.5955030063189565	0.5963948046051037	190.9602652944071	0.4058665676690472	-0.0012359490476910207	0.028268694587053052	0.04830850526975211	0.5954971627194734	0.5964788031033635
tahoe	sciplex	170	1	23	69	23	6742.0	376.41666666666663	180.463768115942	376.41666666666663	180.463768115942	0.052574546566602445	0.45668063863255465	0.22021782123663639	0.33844922993459553	-0.28587468336799304	0.02621723906439192	0.006617708956678542	0.01641747401053523	0.03615707255606722	376.41666666666663	0.21474009698203825	0.1418012238959598	69.67632850241546	0.18494847955697027	0.18710849030607296	306.74033816425117	0.8155411556330866	180.463768115942	0.05352114884838457	0.07644495941929691	83.66062801932367	0.4638097952094044	0.46676371418344925	96.80314009661835	0.5387476645106942	0.13413062291521144	-0.08155607634860897	0.10912309165762836	0.32437913738318735	0.3269361022447611	180.463768115942	0.0026816686112719635	0.038130769442179545	122.15821256038646	0.6772186791116933	0.6789959633955143	58.30555555555556	0.32651541529862926	376.41666666666663	0.002742629958140623	0.03249090999938703	249.90700483091788	0.6638001002009954	0.6646912032577373	126.50966183574879	0.3379584426814222	0.0027121492847062938	0.04986239728189616	0.03531083972078329	0.6705093896563443	0.6718435833266259
